rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, age, phone_number, soc_sec_id, blocking_number
rec-3856-org,   tara, fitzpatrick, 7, numeralla street, st john of god hospital, regents park, 4000, vic, 19650609, 31, 04 80912250, 5250215, 4
rec-1910-org,   shaun, campbell, 14, majura avenue, , buddina, 3147, qld, 19950827, , 07 76344268, 1346778, 7
rec-3023-org,   sophie, clarke, 42, richmond street, , woy woy, 3046, vic, 19231231, , 03 98661146, 7056593, 2
rec-5649-org,   chase, stubbs, 3, clift crescent, rye park, bayswater, 4160, vic, , 22, 03 20191544, 2000342, 5
rec-6498-org,   kierra, hoffman, 81, fawkner street, matilda blue, hawthorne, 4101, nsw, 19970607, 20, 07 57592579, 5250660, 7
rec-8806-org,   ella, mason, 98, bonrook street, lazy acres, mount eliza, 6210, qld, 19690118, , 07 21542297, 7574392, 5
rec-833-org,   thomas, tiller, 82, copland drive, canberra hse, macgregor, 5125, qld, , 24, 07 13895676, 3904306, 8
rec-3395-dup-2, taka ra, hyland, 44, , oxonia, moranbah, 2538, qld, 19970226, 9, 07 50465490, 6179816, 2
rec-3382-org,   ruby, janda, 19, , , black rock, 3204, nsw, 19711025, 33, 04 12302274, 1111535, 3
rec-1743-org,   mollie, frahn, 22, goldsborough close, coolac hotel, joondalup, 2042, nsw, 19900505, 36, 08 42327121, 2159198, 9
rec-3441-org,   olivia, crosswell, , dartnell street, , kyogle, 2016, sa, , 25, 02 52080932, 2375310, 1
rec-6134-org,   elysse, donaldson, 8, frome street, , orchard hills, 3072, nsw, , 29, 07 86385978, 1726065, 8
rec-2783-org,   luke, green, 35, clode crescent, , coodanup, 5114, qld, 19660607, , 07 50043565, 9270444, 8
rec-2279-org,   jenna, hage, 412, , eden park, para hills, 5038, , 19961126, 32, 04 93665324, 2302101, 9
rec-9557-org,   isabelle, swierc, 29, dunstan street, , point lonsdale, 4825, qld, 19830423, 36, 08 57006764, 3289571, 6
rec-1859-org,   shannon, miels, 75, ashby circuit, , invermay, 2581, vic, 19280811, 31, 07 49244514, 1626817, 8
rec-4123-org,   jack, bishop, 1, narrabundah lane, lamington medical centre, mermaid waters, 2320, nsw, 19120106, 28, 02 99127274, 6231659, 7
rec-6682-org,   monique, white, 12, ferguson circuit, , batlow, 3172, nsw, 19770704, 29, 02 87844202, 5925712, 8
rec-5070-org,   karli, benveniste, 4, cossington smith crescent, drury village, frankston, 4575, wa, 19760617, 39, 03 59499026, 8709714, 5
rec-6842-org,   ben, heidrich, 13, bullock circuit, brentwood vlge, dover gardens, 3551, , 19480722, 41, 04 48406692, 5283588, 8
rec-1203-org,   jamie, mauric, 75, angwin place, south 5, yarrawonga, 5021, vic, 19120316, 36, 02 43752522, 5697584, 2
rec-9724-org,   oliver, campbell, 1, lutwyche street, sunny valley, raymond terrace, 2280, qld, 19320728, 32, 02 81297750, 6544369, 3
rec-8223-org,   lachlan, le messurier, 1892, pitcairn street, bakers beach, jindalee, 4740, vic, 19390320, 33, 08 35001499, 4053487, 0
rec-2984-org,   joshua, mccarthy, 40, nivison place, learning earth farm, crib point, 2250, wa, 19890216, 29, 08 87526689, 6293784, 4
rec-1478-org,   jasmine, curry, 33, howitt street, honey patch, st albans, 2850, qld, 19480326, 33, 07 21765075, 5233964, 7
rec-7719-org,   lee, paterson, 7, bellchambers crescent, st johnof god hospital, lavington, 2576, nsw, , 19, 08 59918144, 2231730, 2
rec-4971-dup-1, jacqueline, malpacs, 4, cox street, , armitale, 2250, qld, , , 03 16411339, 9746702, 2
rec-3579-org,   ky, furmaniak, 62, worrell place, huongold, lalor park, 3910, , , 21, 04 96482310, 4686909, 7
rec-4625-dup-0, jacdb, dubidmi, 47, launceston street, , indigo valley, 2484, nsw, 19390712, 31, 02 93562492, 5975942, 3
rec-5634-org,   talia, neumann, 5, de salis street, , charlestown, 2500, nsw, 19220807, , 07 12024434, 2109623, 6
rec-4683-org,   ashley, green, 23, burrinjuck crescent, pine hill, ascot vale, 4560, vic, 19140219, 9, 04 01700174, 6623986, 4
rec-2222-org,   erin, shadbolt, 1, muskett place, , mirrabooka, 2795, wa, 19560629, 31, 03 47055534, 4783031, 8
rec-992-org,   jack, rundle, 54, , , regents park, 4740, , 19950222, 26, 04 78288569, 9084311, 4
rec-9332-org,   joel, shepherd, 13, brigalow street, , greenacres, 6058, vic, 19901226, 27, 07 30338590, 6527633, 3
rec-6952-org,   katelin, benjamin, 12, millhouse crescent, ardlui, old bar, 2830, nsw, 19940908, 21, 02 82680468, 9793991, 1
rec-6174-org,   emerson, leslie, 34, callaway crescent, , belgian gardens, 2372, vic, 19221027, 30, 07 84100105, 6549887, 3
rec-8699-org,   lauren, lavender, 36, dumas street, , raymond terrace, 3174, qld, 19921008, 27, 03 47523443, 3171428, 9
rec-591-org,   alana, mcgurk, 17, inkster street, , deniliquin, 4300, nsw, 19410531, 19, 07 36630566, 9802113, 8
rec-3836-dup-1, jacob, , 42, lesueur place, , paddington, 2027, fld, 19491105, , 03 27323178, 2936899, 6
rec-9507-org,   daniel, green, 47, lee place, , glenwood, 2251, qld, , , 04 70432057, 6349030, 0
rec-3343-org,   jacob, crouch, 60, kambah vlge, , kingston, 4032, wa, 19270720, , 08 63177960, 1729711, 3
rec-8246-org,   emiily, royans, 39, broad place, glenlee, toowong, 4800, , 19131120, 25, 03 91219731, 8566915, 1
rec-4239-org,   jasmine, farrimond, 81, paul coe crescent, tintagel, port pirie, 2263, , 19681219, 33, 08 41929397, 9794295, 3
rec-9222-org,   pakita, maynard, 234, ogden close, , bray park, 2753, wa, 19740909, 37, 03 96226890, 5771061, 1
rec-1342-org,   aliza, ebert, 23, lochee place, , narrandera, 3148, wa, 19800210, , 02 75097823, 1502091, 7
rec-2718-org,   ella, noack, 21, mugglestone place, , whitebridge, 6081, nsw, 19720108, 23, , 3086668, 2
rec-8844-org,   jessica, gilbertson, 73, weddin circuit, , malvern east, 2228, vic, , 32, 02 65463891, 6359142, 7
rec-6298-org,   cameron, glass, 7, rowe place, , thebarton, 2680, qld, 19800920, 36, 02 40603338, 5201135, 0
rec-376-org,   hannah, millar, 1, luckman place, cabbage tree, denmark, 3550, vic, 19841022, , 08 15745640, 9139446, 8
rec-3841-org,   bridget, rothe, 30, medley street, , seaforth, 4854, nsw, 19341009, 23, 03 66069459, 7051460, 5
rec-7273-org,   michael, cowell, 8, knox street, , preston, 3199, nsw, 19990126, 30, 03 67148429, 2117838, 7
rec-498-org,   shana, hinchliff, 31, blacket street, , fadden, 2570, nsw, 19540804, 24, 02 77006184, 5784451, 6
rec-6917-org,   keeley, white, 7, fairley crescent, , yenda, 3021, qld, 19270924, 36, 03 64379923, 7117116, 4
rec-6718-org,   , mcdermid, 82, withnell circuit, , emerald, 2229, nsw, 19691021, 20, 02 03839352, 4109423, 1
rec-3718-org,   mikaela, berry, 17, charteris crescent, , hoppers crossing, 2727, nsw, 19650329, 12, 08 28267960, 6193221, 0
rec-1245-org,   riley, alisauskas, 38, city walk, , withcott, 4606, vic, 19710216, 13, 08 64044172, 7036146, 3
rec-5409-org,   kydan, clarke, 49, schlich street, , railway estate, 5013, tas, 19640117, 33, 08 54161757, 8349932, 0
rec-6153-org,   james, hoffman, 25, crocker place, , chinchilla, 6395, qld, 19881216, 11, 03 98546759, 1612516, 1
rec-6124-org,   joel, halligan, 25, namatjira drive, , kogarah, 4508, nsw, 19610530, 32, 08 64233059, 6734619, 4
rec-9578-org,   kyle, nguyen, 56, alfred hill drive, woodlands surgery centre, patterson lakes, 4504, vic, 19740709, 41, 07 89106530, 9641106, 8
rec-3366-org,   ryan, mainsbridge, 9, paul coe crescent, , clareville, 4306, nsw, 19071219, 37, 03 93435033, 8040612, 2
rec-2948-org,   nicolas, mccarthy, 83, warrumbul street, gabbalodge, sunnybank, 2190, wa, 19220323, , 03 81341651, 4262275, 1
rec-1044-org,   brooklyn, steed, 22, mareeba street, , taree, 2219, nsw, 19100324, , , 7447466, 5
rec-1985-org,   jed, lowe, 5, rene street, j & m land hostel, ngunnawal, 7320, , 19101118, 41, 02 28338784, 3344614, 0
rec-4565-org,   jordan, menzies, 50, charlton crescent, , keysborough, 2126, vic, 19221009, 27, 02 46573422, 1854432, 6
rec-7084-org,   jai, pantos, 16, barraclough crescent, st lawrence park, salisbury, 4223, qld, 19651111, 29, 02 45708327, 1519046, 7
rec-6960-dup-2, amy, bishop, 0, elimatta street, , blacktown, 4570, qld, , 23, 02 78975373, 5694614, 1
rec-7094-org,   nicholas, hersey, 27, leach street, , greensborough, 2539, wa, 19780605, , 03 90357522, 2297873, 5
rec-3748-org,   lucas, everett, 30, verco street, , nollamara, 3066, nsw, 19100403, 28, 07 48136748, 5861061, 5
rec-5225-org,   brielle, boss, 61, cockle street, bonnie doon, scarborough, 6237, sa, 19130408, 28, 03 84175301, 2966472, 6
rec-9258-org,   rhiannon, bitmead, 13, mackaness place, fig trees, mitcham, 3198, qld, , , , 2046983, 0
rec-6329-org,   wilson, klemm, 41, enright crescent, sec 1569, whitton, 3305, wa, 19800927, 30, 04 04280051, 2614032, 6
rec-701-org,   emma, vincent, 30, , australian fair west, mountain creek, 3071, qld, , 29, 04 07962206, 9444566, 0
rec-9715-org,   rebecca, , , shumack street, , ringwood, 2546, vic, 19741026, 29, 02 89557837, 4202158, 9
rec-1865-dup-3, spencer, painter, , dixon eeive, , rochester, 2524, qld, 19290616, 30, 03 57039084, 6745514, 8
rec-5322-org,   sophie, lomman, 12, hurley street, , joslin, 5173, sa, 19470711, 30, 02 12379342, 4464842, 8
rec-7908-dup-1, trisxan, hazejl, 19, mcmillan crescent, bondo, woy woy, 3460, qld, 19510210, , 02 87327397, 1506183, 7
rec-1121-dup-1, william, sowad, 20, hancock xtreet, , paddington, 3150, nsw, , 26, 03 52833514, 7188227, 7
rec-2204-org,   oakleigh, richmond, , keverstone circuit, garden settlement, broadmeadows, 2508, qld, 19100107, 13, 03 78115001, 6153485, 7
rec-6448-dup-2, meg, berrl, 9, macdonnell street, , fraser, 3940, a, 19080717, 29, 03 88578155, 1680508, 9
rec-2254-org,   oliver, binggong, 16, cavenagh place, walkers orchard, sandy bay, 3996, tas, 19150401, 26, 04 13581875, 9097500, 2
rec-3325-org,   kalli, sidney, 19, noarlunga crescent, , glenning valley, 2541, sa, 19751203, 30, 07 52518980, 9006707, 9
rec-3047-org,   catherine, lund, 78, may mills close, shallow crossing, barooga, 2025, vic, 19500627, 34, 02 19002659, 1967597, 0
rec-5401-dup-1, emiily, , 48, marshall gstreet, , withcott, 6237, sa, 19541208, , 03 30207951, 5379674, 4
rec-620-org,   nicholas, mcmullen, 14, national circuit, wiangaree, bateman, 4223, nsw, 19231103, , 04 11109545, 3475816, 2
rec-8252-org,   jarrod, hingston, 59, , , mansfield park, 4165, vic, 19070505, , 07 12747453, 4710834, 4
rec-4805-dup-0, fraser, thackeray, 150, mcinnesj street, , bedford park, 4114, , 19870207, , 08 48553827, 5065391, 7
rec-77-org,   daniel, white, 22, buvelot street, , caves beach, 2287, qld, 19690118, , 08 86318666, 3429469, 2
rec-4934-org,   tyler, ballantyne, 2, sargeant place, , toowoomba, 6011, wa, , 37, 02 11750491, 4650742, 1
rec-7049-dup-0, megan, liolios, 6, grayson street, , belmont, 2904, nsw, 19110424, 33, 07 85291759, 1878222, 9
rec-8078-org,   matthew, mayer, 66, schlich street, the cabin, salisbury, 5211, , 19910831, 30, 08 17141148, 3913029, 2
rec-1756-org,   oliver, green, 10, alfred hill drive, homesite 3, albury, 5019, vic, 19671118, 30, 04 75077189, 1726900, 1
rec-8085-org,   talia, weller, 15, osburn drive, yambungan station, parkside, 3631, , , , 02 37828213, 2748428, 9
rec-8413-org,   elli, dixon, 10, dowthwaite street, , arana hills, 2259, nsw, , 34, , 8470067, 6
rec-85-org,   julia, reid, 11, kevin street, , gingin west, 2280, tas, 19370908, 28, 02 58357896, 4767518, 3
rec-5617-org,   david, bradshaw, 9, eldridge street, , tingha, 2101, vic, 19460929, , 03 10344167, 2213130, 8
rec-8066-org,   isabella, chubb, 34, , , renown park, 5045, tas, 19630708, 25, 04 10906958, 4021832, 1
rec-7668-org,   nicholas, bransby, 3, adinda street, inglewood, rowville, 4515, nsw, 19180908, 24, 08 87202383, 5226140, 9
rec-139-dup-0, william, babgic, 177, youl court, , katherine, 3033, wa, 19540312, 19, 07 08832473, 9838527, 9
rec-5486-org,   polly, carmody, , withnell circuit, , ardeer, 3044, sa, 19620429, 32, 04 67698851, 8997952, 8
rec-8244-org,   mikhayla, shepherd, 52, arabana street, lindis faime, emerald, 2770, wa, 19680919, , 04 40555668, 2749007, 4
rec-3741-org,   joshua, lowe, 14, greeves street, , brighton, 5573, sa, , , 08 56411739, 9074564, 8
rec-2939-org,   ryan, mendrin, 46, balsillie crescent, , sale, 3950, qld, 19930317, 21, 08 05709640, 5343079, 3
rec-2979-org,   flynn, teague, 6, haugh place, , auburn, 3187, tas, 19690309, 24, 04 10471711, 8928788, 4
rec-6998-org,   sam, dooley, 40, ovens street, , old beach, 5116, nsw, 19440513, 31, 03 89287343, 9942185, 7
rec-270-org,   caleb, green, 1, cutlack street, , matraville, 2582, nsw, 19551024, 13, 02 65098327, 1516069, 5
rec-4783-org,   liam, boyle, 9, moss street, , ballarat, 2113, qld, 19301011, 36, 07 02582857, 2605283, 4
rec-4288-org,   andrew, elphick, 265, wakool circuit, valley of springs, mount eliza, 4271, nsw, 19311228, , 07 44635393, 2364636, 0
rec-3502-org,   nicolas, mccarthy, 15, grayson street, , pinkenba, 2099, qld, 19640428, 24, 02 32727053, 6378124, 9
rec-5805-org,   jarryd, doody, 45, warrambool close, , logan central, 3163, vic, 19690807, 30, 04 87202466, 5409466, 5
rec-9719-org,   layla, tyerman, 1, sewell place, the burrows, craigmore, 2428, nsw, 19911228, 33, 03 27894816, 9301583, 7
rec-2470-org,   elana, neville, 75, kernot street, , cherrybrook, 5161, vic, 19340423, 35, 07 86850436, 5671073, 0
rec-6132-org,   , yeoman, 99, beardsmore place, bunderry, hinchinbrook, 2024, wa, 19660913, 24, 04 16023060, 4838197, 7
rec-2535-dup-0, olivia, astley, 17, somervillesstreet, , keiraville, 6061, wa, 19020728, 22, 08 09412010, 6523762, 7
rec-9020-org,   bayden, morrison, 78, fincham crescent, ebaurana, lynbrook, 3061, vic, 19320510, 39, 08 76314588, 6963892, 8
rec-956-org,   holly, campbell, 13, dunlop street, glenhurst, condon, 3188, wa, 19620101, 40, 03 18007410, 2961005, 9
rec-8415-org,   madeleine, corrie, 1, vonwiller crescent, , wendouree, 4178, nsw, 19350526, 29, 02 99599734, 4247410, 0
rec-6804-org,   emerson, morrison, 86, lind close, , wantirna, 5011, vic, 19880319, 19, 02 98455674, 9960820, 3
rec-9806-org,   thomas, clarke, 14, keverstone circuit, garanga, metung, 2903, , 19750113, 25, 07 73791771, 7049152, 5
rec-2486-org,   joshua, laing, 75, dalley crescent, , padstow, 3777, nsw, 19880327, 25, 07 79621077, 7477959, 0
rec-9196-dup-2, emm, lohe, 2, fernyhough crescent, , marcus beach, 4502, qld, 19620108, , 04 65348908, 9867724, 7
rec-7552-org,   karli, , 6, yates garden, welcome swallow angus illalangi rmb 1800, south west rocks, 2506, nsw, 19731009, 32, 08 58639105, 4384684, 2
rec-8623-org,   thomas, lowry, 122, werriwa crescent, , summer hill, 3039, nt, 19350618, , 03 00243009, 6870802, 1
rec-1351-org,   caitlin, george, 29, hellings place, loc 5129, surry hills, 2033, tas, 19290325, 28, 04 80372545, 6449834, 1
rec-1095-org,   nathan, havelberg, 526, , , largs north, 2094, wa, 19760614, 9, 03 89919040, 3153500, 5
rec-2506-org,   alana, harjanta, 8, alice jackson crescent, , toormina, 2291, qld, , 13, 08 97780666, 9223705, 3
rec-3997-org,   ashleigh, reaburn, 2, stapylton street, st francis village, long jetty, 4350, qld, 19080328, 23, , 6588828, 4
rec-4146-org,   cooper, klemm, 10, wallaroo road, broadbridge manor, thornlie, 2032, qld, 19060610, 27, 02 95973040, 3464799, 2
rec-7596-org,   adam, miles, 21, dumas street, , bull creek, 4132, , 19930520, 25, 07 74286689, 6797761, 9
rec-1733-org,   cooper, miles, 11, cuthbert circuit, , osbornes flat, 2428, qld, 19151218, 31, 08 50312302, 9644186, 2
rec-9494-org,   shandril, byers, 4, higinbotham street, evergreen, yarraman, 3072, vic, 19790121, , 07 18224677, 1700272, 6
rec-3773-org,   cooper, gilles, 15, baldwin drive, , oak flats, 5022, nsw, 19710930, , 08 22699430, 2258411, 3
rec-571-dup-0, adam, cartland, 9, wattlegatreet, , harrington, 3124, , 19400830, 7, 02 56739133, 2271543, 3
rec-5916-org,   archie, burnell, 16, lampard circuit, , wye river, 2761, nsw, 19450413, 34, 02 64661750, 2667377, 8
rec-5547-org,   benjamin, frauenfelder, 20, , , deniliquin, 5023, vic, 19700415, , 04 64647095, 2353969, 2
rec-6779-org,   kyle, aspinall, 8, minter place, avalind, penrith, 4017, nsw, 19180324, 9, 03 87347482, 6827549, 6
rec-3146-org,   tristan, , 59, heagney crescent, , bundarra, 2770, qld, 19321222, 10, 07 71693595, 8443831, 0
rec-9481-org,   kyle, noble, 8, maccallum circuit, , emerald, 0870, qld, 19530704, , 02 22849086, 7325691, 2
rec-4554-org,   noah, hamley, 1, , warwillah, st albans, 3220, qld, 19240608, , 03 56158269, 3864348, 2
rec-4512-org,   chloe, pontt, 79, appel crescent, wayamba, scarborough, 5602, qld, , 37, 07 78249082, 8277145, 6
rec-7086-org,   kai, de voga, 43, bent street, , warilla, 5253, nsw, 19730208, 35, 03 92134787, 2631432, 7
rec-2603-org,   dylan, iffland, 16, aurora close, , pooraka, 3677, act, 19940413, 32, 02 94467386, 2152418, 1
rec-1571-org,   freya, rees, 82, stopford crescent, llangollen, ross, 2040, nsw, 19111204, 30, 08 27991265, 9773270, 4
rec-2495-org,   andrew, grossman, 48, hadow place, , granville, 6105, sa, 19720318, 27, 04 96929857, 1841530, 9
rec-5928-org,   ruby, chandler, 31, dingo flats, , ashfield, 2133, nsw, 19790525, 25, 07 42195370, 9785202, 2
rec-5956-org,   annabella, matthews, 8, zamia place, flr 3, elimbah, 2423, nsw, 19750321, 31, 07 51761290, 4365351, 7
rec-496-org,   sana, tuit, 107, carmichael street, canberra centre, robina, 5554, vic, 19710225, , 08 51023575, 5402054, 8
rec-1652-org,   stelio, maingay, 1, gibb place, janefield, bligh park, 6026, vic, 19751017, 29, 07 45493324, 2885087, 6
rec-3352-org,   jack, sanmugam, 35, darke street, huntlywood, thornbury, 3051, nsw, 19091201, 28, 04 90459633, 3268227, 1
rec-9603-org,   carlin, goldsworthy, 37, ferry place, , carlingford, 2110, qld, 19281107, 25, 04 50496881, 5925969, 0
rec-2341-org,   ethan, mazek, 12, cripps place, , ascot vale, 2073, nsw, 19290305, , 07 33112634, 7546460, 3
rec-1849-dup-2, thomas, , 35, eungella street, , toowoon bay, 4272, wa, 19141001, 29, 03 98097389, 4691894, 0
rec-6364-org,   madelyn, white, 43, dunstan street, , young, 4740, nsw, 19941130, 30, 02 63566257, 5295263, 5
rec-1293-org,   amalia, bradshaw, 37, langdon avenue, , bacchus marsh, 3032, nsw, 19870323, 28, 08 34066339, 1164925, 8
rec-129-org,   holly, crouch, 14, hobbs street, st francis vlge, rossmoyne, 3087, sa, 19660319, 39, 08 93366170, 4073912, 7
rec-9369-org,   christian, walley, 2, hawkesbury crescent, , box hill south, 2151, sa, 19510408, 23, 07 95263931, 4330462, 3
rec-1427-org,   lucy, lowe, 207, brownless street, , como, 4132, , 19740913, 30, 04 79812721, 5797975, 0
rec-7060-org,   jeremy, gohl, 35, monaro crescent, , surrey hills, 4077, nsw, 19170304, 32, 04 37972882, 6368446, 7
rec-1139-dup-0, teileah, jolly, 11319, conley drive, , corrimal, 4701, qlc, 19921230, 25, 08 08095019, 2411161, 9
rec-4749-org,   mitchell, prohaska, 37, , , magill, 2131, nsw, 19021218, 35, 04 38870381, 8490214, 7
rec-4797-org,   daniel, ryan, 3, kingscote crescent, , tamarind gardens, 2565, act, 19790225, , 08 16060582, 4777805, 9
rec-1849-dup-0, thomas, , 46, eungella street, , toowoon bay, 4272, wa, , 29, 08 37938102, 4691884, 0
rec-2582-org,   hamish, bullock, 18, lawrence wackett crescent, crown reserve, taringa, 6101, nsw, 19850221, 12, 03 18766890, 8012476, 7
rec-7272-org,   mackenzie, tinus, 6, bridge place, , auburn, 4223, vic, 19490606, 21, 08 45842943, 5051007, 9
rec-1043-org,   alexander, rundle, 4, maygar street, chanak, ormond, 2022, wa, 19871019, , 04 80510178, 7474659, 2
rec-6720-org,   robert, brock, 28, finniss crescent, , lakemba, 3550, vic, 19631007, 24, 02 98298165, 4602875, 0
rec-2278-org,   ebony, everett, 1, wheeler crescent, , tambo upper, 4216, vic, 19220921, , 04 27737840, 1295539, 3
rec-1370-org,   takeisha, clarke, 4, hayward place, , marsfield, , sa, 19730819, 31, 08 12960348, 1360733, 4
rec-237-org,   timothy, ploesser, 38, jerrabomberra avenue, , ashfield, 6061, nsw, , 13, 08 75290187, 8160407, 8
rec-902-org,   nicholas, mesecke, 15, von guerard crescent, locn 306 molinara farm, moree, 2747, nsw, 19370720, 36, 08 95664513, 4425689, 9
rec-740-dup-0, kai, geue, 16, broadbentt btreet, , smithfield plains, 6027, sa, 19121897, , 07 17062420, 9167600, 9
rec-7429-org,   bayden, dissinger, 63, schuler place, , normanville, 3825, , 19931130, 35, 04 18249390, 9126685, 2
rec-2819-org,   madison, youngs, 5, launceston street, rainbow ridge, dianella, 2167, vic, 19140406, 34, 04 53231977, 6560301, 1
rec-9728-org,   connor, morrison, 40, bell place, , camden, 6317, nsw, 19310609, 30, 02 44544978, 8252751, 3
rec-3655-org,   deakyn, donaldson, 52, mailey retreat, gerapna, granville, 6153, qld, 19820414, , 08 06262119, 7069569, 5
rec-9247-org,   michael, paine, 212, charvin court, , bowen mountain, 2153, nsw, 19530216, 22, 03 04944264, 3446211, 2
rec-7458-org,   jacob, clarke, 10, shumack street, combogolong, mill park, 3844, wa, 19300811, 26, 02 86945286, 8808589, 2
rec-9745-org,   liam, beelitz, 159, hannaford street, pine view, altona north, 4865, sa, 19460213, 29, 08 33532486, 3354980, 3
rec-6063-org,   renee, doody, 15, elizabeth crescent, boonberry, clayton, 4551, nsw, , 29, 02 33202187, 9158146, 5
rec-4921-org,   caitlin, rundle, 3, longmore crescent, rowethorpe, valentine, 6076, nsw, 19641104, 27, , 7119104, 3
rec-6412-dup-1, green, benjamin, 53, chewings street, karrara, 3108, ormeau, qld, 19440705, , 07 27398026, 8728183, 6
rec-9555-dup-1, harvey, hudy, 113, sturtaafenue, , coffs harbour, 6050, vic, 19650228, 32, 04 41064154, 2823315, 7
rec-9730-org,   ruby, clarke, 126, fingleton crescent, tintagel, smithfield, 2478, wa, 19650612, 28, 03 69417013, 2034496, 1
rec-1957-org,   natalee, feleppa, 2, st clair place, , woorim, 3171, nsw, , 28, 03 16172022, 4592714, 6
rec-7729-org,   joshua, lodge, 12, oliver street, , sandy bay, 6060, qld, 19730411, 24, , 5450420, 8
rec-8557-org,   luke, boxhall, 56, springvale drive, , moorooka, 2580, nsw, 19600429, 29, 04 78058933, 5260575, 0
rec-1591-org,   zachary, villafuerte, 406, embley street, , west lakes shore, 4305, nsw, 19670628, 32, 08 54255515, 1953235, 6
rec-8885-org,   lauren, haeusler, 146, mattingley court, , , 2031, nsw, , 29, 02 27316272, 6390976, 8
rec-4539-org,   david, frogley, 20, lampard circuit, , kogarah, 2088, nsw, 19490609, 20, 02 35229718, 9254471, 4
rec-6122-org,   samuel, dolan, , light street, , waterloo, 5256, nsw, 19391001, 32, 04 20082007, 5358459, 2
rec-5329-org,   allegra, lymberis, 5, yirawala street, redwood village, kedron, 2444, vic, 19560802, 31, 07 74226873, 6329942, 1
rec-4656-org,   jamilla, mccarthy, 25, shackleton circuit, , blackmans bay, 4350, nt, 19290804, 35, 03 80865109, 7103715, 6
rec-5555-dup-1, , web, 57, warragambq avenue, fireville, castlereagh, 2647, sa, 19950612, 21, 04 19617696, 4406000, 0
rec-4253-dup-3, claire, fogg, 14, chandlernzrreet, , turner, 4818, qld, 19250818, , 02 33137763, 6306365, 5
rec-6607-org,   ethan, wisby, 46, maclaurin crescent, , mount torrens, 3022, , 19990205, 9, 03 74871355, 2821680, 3
rec-7313-dup-1, kelsey, bititns, 7, larakiaostreet, , clarkeield, 5041, vif, 19880121, , 07 64410561, 7781490, 8
rec-3288-dup-1, sophie, rysm, 155, trickett street, , mermaic waters, 3143, nsw, 19100130, 31, 02 03862177, 3931677, 4
rec-1658-org,   jacob, spicer, 5, kalgoorlie crescent, , emu plains, 4879, wa, 19380721, 36, 02 12955633, 3659827, 6
rec-1422-org,   james, schiansky, 2, narambi street, , mount moriac, 2122, vic, 19620814, 7, 07 87037967, 9458073, 0
rec-7593-dup-0, shekeyy, turnor, 26, crescent gaunson, caloundra family medical practice trinit, brewarrina, 3216, , 19761031, , 03 72170890, 5559635, 7
rec-7264-org,   emiily, ryan, 15, whistler place, , hinchinbrook, 3075, nsw, 19030927, 30, 08 68116919, 8523144, 1
rec-1116-org,   teagan, lowe, 54, badimara street, , prospect, 5153, , 19560710, , , 9430820, 9
rec-5517-org,   erin, stubbs, 33, cumming place, , charlestown, 6210, qld, 19290810, 22, 04 85061689, 6590396, 2
rec-3355-org,   nicholas, mccaffrey, 35, canberra avenue, wearmouth, adelaide, 2192, qld, 19900206, 26, 08 29211563, 2448680, 2
